ID,Latitude,Longitude
226,36.038508,-83.443811
231,36.974857,-84.10698
232,44.026094,-116.952451
233,43.539165,-123.289272
234,30.737981,-95.594058
236,41.460759,-88.273021
237,36.665605,-121.629883
238,40.690265,-95.792878
239,40.834268,-83.245479
240,36.643401,-83.700123
241,35.96043859,-83.82323948
242,39.583403,-85.81768
243,38.443943,-81.830552
6955,36.071014,-79.351642
245,40.351428,-76.716784
247,40.046093,-86.820502
249,38.731647,-89.908017
252,39.369362,-94.374155
253,39.681507,-75.479471
254,34.978805,-85.413911
255,41.236582,-73.022534
256,36.582662,-79.355117
257,31.915264,-102.215107
258,37.388702,-79.90052
259,35.785008,-95.401615
260,31.580923,-84.08578
261,33.486,-89.771497
265,36.133921,-85.504223
266,32.296265,-106.810115
6978,35.298502,-79.72734
267,32.612766,-83.744558
268,41.614599,-90.782213
270,35.903979,-84.141119
271,41.573102,-87.402061
274,30.294426,-91.914023
275,35.270532,-80.83846
278,38.919106,-84.625799
6990,35.583554,-78.147826
279,31.431247,-110.962217
280,40.659636,-75.072817
281,41.139862,-80.719391
282,34.854721,-117.087156
284,41.963254,-83.353782
6996,34.994202,-78.129992
285,39.945205,-82.536115
286,39.831663,-84.630818
287,40.999223,-81.997734
289,42.527207,-88.980074
290,39.589705,-76.065451
293,29.024514,-82.159188
294,41.245701,-112.019396
296,42.295781,-83.878244
297,39.432996,-87.332128
298,41.027414,-76.079925
299,40.482397,-89.017506
300,30.477546,-90.455976
301,36.518393,-89.59756
302,30.55941,-88.205244
303,41.416539,-84.104244
304,41.058915,-84.979902
305,35.481551,-108.432679
306,29.439983,-98.380264
307,33.903033,-116.546529
308,41.327254,-105.610982
309,39.737538,-81.527959
310,34.915732,-82.107788
311,42.069726,-80.038254
312,33.682548,-85.263639
313,38.651502,-90.131509
317,37.004576,-94.552952
318,39.69757,-86.185135
319,34.686835,-85.000111
321,38.917577,-84.632618
322,42.377631,-77.363764
324,42.779236,-87.952085
328,33.661422,-114.236411
329,41.23608,-95.878206
330,29.676709,-98.156877
331,33.685437,-84.312174
332,34.781379,-92.127366
335,32.45905,-91.759428
336,41.141249,-78.782932
337,34.233114,-79.801826
338,33.930036,-81.078214
339,40.12289,-87.450285
340,39.614279,-119.266272
341,36.241317,-115.097783
343,32.569229,-116.952564
346,34.19298,-80.686871
348,40.131342,-80.001194
350,43.14264,-115.662986
352,26.655936,-81.802483
353,38.276182,-84.554285
354,38.209897,-85.348051
356,38.060527,-85.703132
358,37.097938,-88.691205
360,41.136613,-83.6608
363,35.018202,-89.897226
365,37.019469,-120.133171
366,35.682815,-88.777142
367,33.043772,-96.177451
368,39.907375,-88.894675
369,33.529436,-86.851917
370,41.313989,-75.754619
372,34.494509,-118.619346
373,41.630224,-93.780833
374,30.725543,-85.186994
375,29.799918,-95.267751
377,27.683694,-99.461492
380,43.086718,-76.165752
381,34.409148,-117.398565
384,37.311344,-77.391112
385,37.874751,-93.621501
386,45.048383,-122.975206
387,40.719724,-116.105797
388,32.347242,-88.727686
390,45.76531892,-119.2052165
391,42.377657,-122.899144
392,37.522021,-85.882251
393,35.5727,-82.955867
394,41.520771,-74.113474
396,38.019952,-79.142828
398,32.085408,-83.759891
399,37.827435,-85.724452
402,41.136165,-104.707239
403,36.110941,-84.020396
404,35.807895,-86.396012
405,35.019336,-89.898258
406,35.304932,-86.88448
407,43.144653,-93.358774
408,39.691935,-79.10068
409,36.023037,-87.341679
411,36.178635,-86.299394
412,36.109401,-83.333659
413,36.172521,-86.865216
415,34.769699,-85.541878
416,31.960264,-83.74661
417,33.719364,-85.029832
420,33.560277,-83.479265
421,34.655613,-84.981043
422,33.321115,-84.777822
424,29.26583,-82.188904
425,30.485112,-84.420724
428,32.50802,-92.19348
429,35.157318,-90.138155
430,35.280414,-93.092379
431,30.112464,-93.821772
432,31.455849,-97.171948
433,32.642029,-96.780882
434,32.957734,-97.306777
435,31.996671,-106.586754
436,35.195618,-101.741115
437,36.721766,-84.168338
438,36.717722,-86.524778
439,36.692481,-87.451042
440,38.454368,-85.297788
441,34.538039,-86.910458
442,36.227739,-89.726098
443,39.003149,-93.733623
444,39.451576,-87.124309
445,41.604698,-87.114726
446,40.114781,-85.573858
447,38.174777,-87.548569
448,41.290344,-87.294288
449,40.05753,-81.050689
453,35.078273,-81.703917
454,39.958751,-83.370175
455,40.370322,-82.830783
457,40.833871,-83.965271
458,32.738146,-111.549383
459,33.455494,-112.272825
460,35.462502,-97.687992
461,42.263491,-82.461239
463,42.987294,-82.116584
467,29.220032,-98.415082
468,40.750732,-88.002085
469,40.749131,-81.403188
470,44.962991,-92.561129
471,28.118173,-81.638422
472,29.494616,-95.911803
473,41.45752,-88.191908
474,38.704951,-80.663657
475,35.010442,-106.046654
476,41.181183,-90.338847
477,33.344772,-96.588958
478,38.239392,-86.362362
481,35.152381,-84.953257
482,38.313107,-88.961402
483,41.395797,-88.421983
485,40.931337,-117.804889
486,32.450417,-95.283802
488,28.453086,-99.238366
489,47.887971,-97.093382
490,32.388358,-104.215505
491,38.480044,-78.818994
492,34.187144,-93.070262
493,33.193532,-80.602151
494,42.781758,-74.028569
495,41.698446,-92.359026
496,41.644246,-91.149972
497,33.593045,-86.159239
498,34.364915,-96.140712
500,30.516297,-83.059093
503,39.539053,-79.993891
504,42.256708,-121.798342
505,32.673458,-114.444909
507,30.811297,-97.610854
509,38.29261,-112.653202
510,39.255656,-112.116192
511,46.86077,-101.01006
